query,dish_name
something like sourdough,Sourdough Clouds with Warm Dipping Chocolate
pizza pick,Farmer's Pick Pizza
pitika lunch,Bengena Pitika
spicy jalapeno,Jalapeno Pepper Dip
ice like something,Blueberry 'N White Chocolate Ice Cream
course spicy,5 Course Meal: Non Veg Loaded Pizza
biryai,Andhra Style Chicken Biryani
spicy surprise,McSaver Korean Chicken Surprise Burger.
mcveggie burger + mcaloo burger,McVeggie Burger + McAloo Tikki Burger
hyderabadi spicy,Half Hyderabadi Paneer Dum Biryani
kuch protein] chahiye,[75g Protein] Roast Chicken Salad + Chicken Tik...
Mutton Rogan Josh,Mutton Rogan Josh
paneer course main,Paneer tikka masala
kuch hashbrown chahiye,Veg McMuffin + Hashbrown
pepper roasted mushroom ( gluten free ),Pepper Roasted Oyster Mushroom ( Gluten Free )
Veg Lonnger Burger - 2pc,Veg Longer Burger - 2pc
biryani wala,Veg Rice Bowl - Biryani Style
want to try makhani,Pind di Dal Makhani Rice Bowl
kuch margherita chahiye,Schezwan Margherita
spicy coconut,Coconut vadi
want to try chicken,Creamy Chicken Tikka Mini Rice Bowl
Protein Pesarattu ( Gluten Free / High Protein ),Protein Pesarattu ( Gluten Free / High Protein )
tandoori like something,Tandoori Chicken Mughal Biryani + Lemonade + Raita
tomato like something,Tomato Twist Red Sauce Pasta
theeyal veg,Theeyal
banana 'n strawberry creaam,Banana 'N Strawberry Ice Cream
singh da saag chicken steamed rice,Singh Da Saag Chicken Steamed Rice Bowl
saffron pear with mascarpone,Saffron Poach Pear With Mascarpone
egg curry light meal,Egg Curry - Light Meal
bread cheese,Cheese Garlic Bread
sadam lunch,Currivepillai sadam
banana spicy,Banana Chips
smoky,Smoky Red Grilled Chicken - 5 pc
cinnamon spicy,Cinnamon Raisin Cookie
Mint Milk Chocolate Chips Ice Cream (Small Scoop),Mint Milk Chocolate Chips Ice Cream (Small Scoop)
something butter,Butter Chicken Baked Cheese Rice Bowl
spicy krisper,Veg Krisper Burgers - 2pc
something chicken,Saag Wala Chicken - Feast Thali
kuch pizza chahiye,Cheeseburst - Spicy Chicken Treat Pizza
kuch meetha chahiye,Mihidana
hashbrown wala,Hashbrown + Cold Coffee
sweet feni,Sutar feni
mcspicy chicken protein plus (2 slices),McSpicy Chicken Burger Protein Plus (2 Slices)
course main west,Zunka
saag wala chicken feast thali,Saag Wala Chicken - Feast Thali
cream. vanilla,Vanilla Ice Cream.
something moong,Ghee Moong Dal Halwa [500 gm]
mahim wala,Mahim halwa
thick shake,HRX 25g Protein Shake (Chocolate)
kcal],"Chicken Keto Salad [40g Protein, 459 Kcal]"
something sabudana,Sweet Potato And Sabudana Tikki Chaat ( Vegan & Gluten Free )
crispy wala,2 Crispy Veggie Burger  + Fries (L) + 2 Coke
masala rice bowl,Mushroom Masala Rice Bowl
still awake zinger meal,Still Awake Veg Zinger Meal
upma spicy,Upma
chicken roll feast,Classic Chicken Roll Feast
Death by Chocolate Cake Jar,Death by Chocolate Cake Jar
want to try dum,Dum Aloo Biryani Thali
burger + fries (m),McVeggie Burger + Fries (M)
something chickeen,Burger Combo for 2: McSpicy Chicken Burger with Pizza McPuff
paneer mighty sandwich [36g protein],Overload Paneer Mighty Sandwich [36g Protein]
dip like something,Mayo Dip
grilled chicken & cheese burger +,Grilled Chicken & Cheese Burger + Coke
kansar dinner,Kansar
kalakand spicy,Kalakand
shahi paneer - thali,Shahi Paneer - Feast Thali
meetha momo,Momo Dip
prepack) banao,Vanilla Ice Cream (Family Prepack)
Paneer Tikka Baked Cheese Rice Bowl,Paneer Tikka Baked Cheese Rice Bowl
mexican try karna hai,Mexican Corn & Cheese Burger.
meal like something,Korean & Thai Roll Chicken Meal
gajar spicy,Gajar ka halwa
spicy reusable,Masala Pepsi Reusable Bottle
masala tikka Paneer,Paneer tikka masala
something like smoothie.,Mango Smoothie.
curd and rice bowl,Curd And Poriyal Rice Bowl
coke spicy,Coke
jello melllo ice cream (regular scoop),Jello Mello Ice Cream (Regular Scoop)
burger pizzza classic non veg,Burger Pizza - Classic Non Veg
crispy thin fiesta mexican,Mexican Fiesta Thin n Crispy
motu patlu kids peri peri paneer party,Motu Patlu Kids Peri Peri Paneer Pizza Party
mexican banao,Mexican Grilled Chicken Cheese Burger + Coke (M)
dinner tandoori,Tandoori Chicken
hyderabadi paneer tikka bowl,Hyderabadi Paneer Tikka Biryani Bowl
khichdi,Sambar Dal Khichdi
kuch pizza chahiye,Pizza Party for 4 (Veg) @Rs. 180 Off
(protein-42g) spicy,Butter Chicken Rice Bowl with Seekh Kebab (Protein-42g)
"kuch protein, chahiye","Chicken Keto Salad [40g Protein, 459 Kcal]"
andhra veg carrier (for 3-4),Andhra Veg Carrier Meals (For 3-4)
sev wala,Sev tameta
somethign like hashbrown,Hashbrown + Cold Coffee
light main course,Kuzhakkattai
want to try cheesy,Motu Patlu Kids Cheesy Corn Pizza Party
choco try karna hai,Choco Kunafa Pastry
combos & bowls biryani,Hyderabadi Tandoori Tangdi Biryani Bowl
Pind di Dal Makhani [Paratha] Bowl,Pind di Dal Makhani [Paratha] Bowl
something like chicken,Andhra Style Chicken Biryani
swweet kozhukattai pcs),Sweet Kozhukattai (2 Pcs)
cream. ice mango,Alphonso Mango Ice Cream.
pizza,5 Course Meal: Veg Loaded Pizza
americano,Veg Pizza McPuff + Choco Crunch Cookie + Americano
pcs] wings chicken dhuadhaar,Dhuadhaar Chicken Wings [6 Pcs]
want to try mcspicy,McSpicy Chicken Double Patty Burger combo
kuch teekha khana hai,Veg Kolhapuri
masala,Kaju Masala
thali aloo dum,Dum Aloo Biryani Thali
soth dessert,Qubani ka meetha
meal - rajma homestyle,Homestyle Rajma - Light Meal
spicy original,Original Tandoori Aloo [10 Pcs]
Smoked Chicken Sandwich,Smoked Chicken Sandwich
kuch loaded chahiye,Loaded Bread Stix
kajjikaya vegetarian,Kajjikaya
punjabi aoo [masala rice] bowl,Punjabi Dum Aloo [Masala Rice] Bowl
peri peri strips - 3 pc,Peri Peri Chicken Strips - 3 pc
meetha upma,Upma
6pc chicken baked bbq,BBQ Baked Chicken Wings 6pc
Tandoori Loaded Chicken Taco,Tandoori Loaded Chicken Taco
eggless dutch truffle cake,Eggless Dutch Truffle Cake [500g]
tadka like something,Tadka Curd Rice Thali
meetha bhindi,Bhindi masala
coke something,Coke (250 mL)
kuch [200 chahiye,Masala Chaas [200 ml]
brownie banao,Choco Chip Brownie
corn,Corn & Peas Sandwich
cream strawberry berry very,Very Berry Strawberry Ice Cream
tikka peri chicken,Chicken Peri Peri Tikka
something extra,Extra Schezwan Dip
meetha onion,Onion
kuch mcspicy chahiye,5 Pc McSpicy Fried Chicken Bucket
lunch box - herbed chicken pesto,Lunch Box - Herbed Chicken Pesto Pasta
currivepillai spicy,Currivepillai sadam
thali khichdi dal toor,Ghee Toor Dal Khichdi Thali
khichdi & flavoured rice,Moong Dal Khichdi + Curd + Pickle + Papad
style aloo matar - light meal,Mom Style Aloo Matar - Light Meal
somethng midnight,Midnight Spicy Zinger & Popcorn Meal
travel snack,Nilgiri Travel Tumbler- 500ml
kuch veg chahiye,2 X Veg Krispers Burger Meal
want to try southern,Grilled wings Southern Spice
something nuggets,6 Pc Chicken Nuggets + McChicken Burger + Coke
want to try barbeque,Barbeque Chicken Mini Rice Bowl
something like paneer,Chilli Paneer Sizzle
take a como,Take a break Combo
paneer like something,Spiced Paneer
spicy party,Special Party for 4 (Veg) @Rs. 180 off
brown like something,Brown Rice
kofta biryani bowl (boneless),Mutton Kofta Biryani Bowl (Boneless)
butter,Butter Dal Makhani Light Meal + Aloo Matar Masa...
kuch cheesecake chahiye,Blueberry Cheesecake Gelato (Tub)
peppy something,Peppy Paneer Cheese Burst
chicken forest 8-cheese,8-Cheese Forest Chicken Pizza
ka moong dal halwa [100 gm],Ghar Ka Moong Dal Halwa [100 gm]
chicken dum biryani -,Chicken Dum Biryani - Bachelor
Chicken Platter for 2-Korean Sweet Chilli Dip,Chicken Platter for 2-Korean Sweet Chilli Dip
something like peri,Peri Peri Grilled Chicken Boneless [65g Protein]
snack chorafli,Chorafali
lemon wings grilled,Grilled Wings Lemon Pepper
korean,Korean Paneer Tikka Garlic Bread
chicken,Chicken Tikka Biryani Thali
mississippi mud cream (tub),Mississippi Mud Ice Cream (Tub)
patlu try karna hai,Motu Patlu Kids Pizza Mini Party Combo (Pack of 5)
masala,Masala Raita [100 ml]
dosa like something,Dosa
crispy veggie burger + mcaloo,Crispy Veggie Burger + McAloo Tikki
frappuccino try karna hai,Belgium Chocolate Frappuccino
bowl rice roast,Roast Vegetables Rice Bowl
chicken tandoori biryani bowls,2 Chicken Tandoori Biryani Bowls
want to try pack,Pack of 2 Dips
rice and chicken masaal fry rice bowl,Sambar Rice and Chicken Masala Fry Rice Bowl
lunch kuzhakkattai,Kuzhakkattai
chicken spicy,Andhra Style Chicken Biryani
roll like something,Roll Meal Box
kalimiri,Grilled Chicken Kalimiri
box meal,Veg Box Meal
Chicken Supreme,Chicken Supreme
something like poori,Masala Cheese Poori ( Jain )
sandwich veggie,Veggie Delite Sandwich
butterscotch mousse,Butterscotch Mousse Cake
juice mint & watermelon,Fresh Watermelon & Mint Juice
something like mcflurry,Mcflurry Oreo ( S )
something like mcchicken,Mc Crispy Chicken Burger + McChicken Burger + Fries (M)
dish odisha,Chhena kheeri
pasta classic,Classic Arrabbiata Pasta
with bread garlic stuffed,Stuffed Garlic Bread with Pepperoni
mexicana spicy,Taco Mexicana Veg (Single)
doublet wala,Choco Fudge Doublet Bar (65ml)
fries regular edition gold,Gold Edition - Regular Fries
spicy chicken rlol,Thai Spicy Chicken Roll
mcveggie burger protein plus + corn + zeo,McVeggie Burger Protein Plus + Corn + Coke Zero
mcspicy paneer burger protein plus slice),McSpicy Paneer Burger Protein Plus (1 Slice)
something chicken,Korean Tangy Roll & Popcorn Chicken Meal
chicken - 8 big,Big 8 - Chicken Bucket
punjabi spicy,Punjabi Dum Aloo [Masala Rice] Bowl
almond praline ice cream (small scoop),Chocolate Almond Praline Ice Cream (Small Scoop)
chicken like something,Chicken Popcorn - Large
luunch maach,Maach Jhol
meetha mangalore,Millet Mangalore Buns ( Jain )
feast try karna hai,Aloo Palak - Feast Thali
something orange,Nagpur Orange
jalapeno wala,Jalapeno Pepper Dip
mcchicken wala,McChicken Burger + Veg Pizza McPuff
Mini Tangy Tomato Cheesikken Rice,Mini Tangy Tomato Cheesiken Rice
dosa,Masala Dosa
mexican banao,Mexican McAloo Tikki Burger NONG
nong burger tikki mcaloo,Mexican McAloo Tikki Burger NONG
Choocolate Almond Praline Ice Cream,Chocolate Almond Praline Ice Cream
own your make,Make Your Own Meal
grilled smoky red chicken,Smoky Red Grilled Chicken - 5 pc
mcveggie try karna hai,McVeggie Burger + Fries (L)
Grilled Chicken Kalimiri,Grilled Chicken Kalimiri
angoori banao,Angoori Jamun (12 Nos)
meetha cheesiken,Garlic Cheesiken
Cotton Candy Ice Cream (Family Prepack),Cotton Candy Ice Cream (Family Prepack)
meetha espresso,Pecan Iced Shaken Espresso
chocolate like something,Chocolate Almond Praline Ice Cream (Tub)
korean burst pizza (med),Korean Chicken Burst Pizza (Med)
smoky grilled chicken - 5 pc,Smoky Red Grilled Chicken - 5 pc
Masala Shikanji,Masala Shikanji
dinner bengena,Bengena Pitika
shimla mirch foood,Aloo shimla mirch
kuch chaval chahiye,Rajma chaval
egg try karna hai,Egg & Cheese McMuffin Protein Plus Meal
Chocolate Dream Cake Doughnut,Chocolate Dream Cake Doughnut
american like something,American Mud Pie Shake
snack idea,Chakali
caramel spicy,Salted Caramel Choco Mousse
cappuccino (s) iced coffee (s),Cappuccino (S) + Iced Coffee (S)
Cheese & Corn,Corn & Cheese
black forest cake,Black forest Mousse Cake
cold drinks,Home-made Ginger Ale
spicy cheeseburst,Cheeseburst - Veg Overload Pizza
1 McSpicy Fried Chk + 1 Crisyp Fried Chk + 4 Wings + 2 Coke + 2 Dips,1 McSpicy Fried Chk + 1 Crispy Fried Chk + 4 Wings + 2 Coke + 2 Dips
Feast Country,Country Feast
light like something,Fam's Favorite Matar Paneer - Light Meal
mcspicy paneer burger with multi-millet,McSpicy Paneer Burger with Multi-Millet Bun
Rice Krunch Bowl Combo,Rice Krunch Bowl Combo
curry spicy,Egg Curry - Light Meal
mushroom spicy,Palak Mushroom
mcspicy burger + fries (m) + piri piri spice mix,McSpicy Chicken Burger + Fries (M) + Piri Piri Spice Mix
chicken something,Ghee Roast Chicken Rice Bowl.
mcspicy wala,8 McSpicy Chicken Wings Bucket + 2 Coke + 1 Dip
veg keri,Keri no ras
mccheese try karna hai,McCheese Burger Veg Combo
shahi wala,Shahi Tukda
spicy chicken,Black Pepper Chicken Bowl
[multigrain] banao,Fiery Chicken Pizza [Multigrain]
6pc wings baked bbq,BBQ Baked Chicken Wings 6pc
pcs),Ghee Gulab Jamun (4 Pcs)
mcspicy,McSpicy Paneer Burger Protein Plus (2 Slices)
cream ice cheers three,Three Cheers Chocolate Ice Cream
bites banao,Rice & Bites combo
combo binge peri peri,Peri Peri Binge Watch combo
dinner shahi,Shahi paneer
Rice Brown,Brown Rice
mexican corn & cheese,Mexican Corn & Cheese Burger
(s) tea strawberry,Strawberry Green Tea (S)
Italian Chicken Pepperoni Cheese Garlic Bread,Italian Chicken Pepperoni Cheese Garlic Bread
masala banao,Kaju Masala
chocolate cake doughnut,Chocolate Dream Cake Doughnut
mojito,Lemon Mint Mojito
peri chicken leg piece - 1 pc,Peri Peri Chicken Leg Piece - 1 pc
mcspicy wala,McSpicy Premium Chicken Burger Protein Plus (1 Slice)
chole spicy,Chole bhature
coffee & beverages (hot and cold),Chocolate Flavoured Shake
Bowl Rice Chole Amritsari,Amritsari Chole Rice Bowl
roll meal,Roll Meal Box
fries + burger mcveggie,McVeggie Burger + Fries (R)
veg like something,Veg McMuffin with protein plus
fam's favorite paneer - feast thali,Fam's Favorite Matar Paneer - Feast Thali
meetha rabdi,Rabdi
cheese volcano,Cheese Volcano Farmhouse
Ultimate Sipnach Pizza,Ultimate Spinach Pizza
dark torte with vanilla ice-cream,Dark Chocolate Torte with Vanilla Ice-cream
meetha cheezilla,Big Big 6in1 Pizza – Veg Cheezilla
chicken wala,Guntur Chicken Ghee Rice Bowl
eggless,Eggless Dutch Truffle Cake [500g]
biryani spicy,Paneer Makhni Mughal Biryani
Varuval Chicken,Chicken Varuval
something like chicken,Singh Da Saag Chicken Steamed Rice Bowl
meetha samosas,Shahi Kofta Feast Thali + 3 Mini Samosas
kuch chicken chahiye,Four Cheese Forest Chicken Pizza
peeri,Peri Peri Tandoori Aloo [10 Pcs]
farmer's pick,Farmer's Pick Pizza
pc,Peri Peri Chicken Strips - 3 pc
crunchy honeycomb ice cream scoop),Crunchy Honeycomb Ice Cream (Small Scoop)
jeera (jain),Jeera Rice (jain)
brown,Brown Rice
McCheese Chicken Burger Protein Plus + 4 Pc Chicken Nuggets+ Coke Zero,McCheese Chicken Burger Protein Plus + 4 Pc Chicken Nuggets+ Coke Zero
something margherita,Margherita Pizza
"tikka keto bowl [71g protein, 30g carbs]","Chicken Tikka Keto Bowl [71g Protein, 30g Carbs]"
protein] try karna hai,Pesto & Chicken Honest Salad [43g - High Protein]
5 course: triple garlic rice meal with chicken wings,5 Course: Triple Chicken Garlic Rice Meal with Chicken Wings
peri grilled paneer tikka [46g protein],Peri Peri Grilled Paneer Tikka [46g Protein]
something like makhani,Dal Makhani - Feast Thali
something like chicken,9 Pc Chicken Nuggets Combo
pizza paprika & fiery,Fiery Jalapeno & Paprika Pizza
chicken spicy,Korean Tangy Chicken Roll
spicy boneless,Saucy Boneless Chicken - Peri Peri
vada vegetarian,Dahi vada
coke try karna hai,Coke (250 mL)
[400g] loaf bread,Wheat Bread Loaf [400g]
mcspicy premium veg protein plus + corn + coke zero,McSpicy Premium Veg Burger Protein Plus + Corn + Coke Zero
biryani try karna hai,Duo Popcorn Chicken Rice Bowl - Biryani Style
cappuccino banao,Cappuccino (S) + Iced Coffee (S)
mcaloo spicy,McAloo Tikki Burger NONG
chicken mushroom spinach garlic bread,Herbed Chicken Mushroom Spinach Garlic Bread
chicken like something,Black Pepper Chicken Bowl
kuch party chahiye,Party for 4 (Veg) @Rs. 130 off
2 crispy veggie burger + 2 fries (m) + pizza mcpuff,2 Crispy Veggie Burger  + 2 Fries (M) + Veg Pizza McPuff
meetha popcorn,Salted Butter Popcorn Ice Cream
chicken like something,Chicken Fried Rice Bowl
something like chicken,Chicken Biryani Bowl + Thums Up Combo
Doohdpak,Doodhpak
something like mcspicy,2 Pc McSpicy Fried Chicken
rice & chicken popcorn delight,Rice & Chicken Popcorn Delight Meal
hyderabadi tandoori biryani bowl,Hyderabadi Tandoori Tangdi Biryani Bowl
bowl mini lababdar paneer,Paneer Lababdar Mini Rice Bowl
steamed like something,Steamed Basmati Rice
(m),McChicken Burger + Fries (M)
kuch ice chahiye,Blueberry 'N White Chocolate Ice Cream
chocolate spicy,Bavarian Chocolate Ice Cream (Regular Scoop)
paniyaram course main,Paniyaram
north idnian cuisine,Shufta
skimmed,Skimmed Mint Buttermilk
zero,McSpicy Premium Veg Burger Protein Plus + Corn + Coke Zero
kuch sandige chahiye,Sandige
something sprout,Wheat Pav With Sprout Bhaji
grilled chicken power sandwwich [35g protein],Grilled Chicken Power Sandwich [35g Protein]
meetha [paratha],Delhi-6 Rajma [Paratha] Bowl
course main light,Paniyaram
butter ghee rice bowl,Butter Chicken Ghee Rice Bowl
sandwich wala,Grilled Chicken Power Sandwich [35g Protein]
penne mcn passta,Penne McN Cheese Pasta
veg,Veg Pizza McPuff + Choco Crunch Cookie
paratha banao,Whole Wheat Laccha Paratha (2 pcs)
kollapuri like something,Veg Kollapuri
coca cola zero sugar,Coca Cola Zero Sugar 330ml
(r) something,Latte Coffee (R)
ras khatta,Keri no ras
spicy [steamed,Punjabi Dum Aloo [Steamed Rice] Bowl
pasta,Tandoori Paneer Pasta
dish mushroom,Mushroom do pyaza
mutton kofta bowl (boneless),Mutton Kofta Biryani Bowl (Boneless)
volcano wala,Cheese Volcano BBQ Chicken
bread,Fiery Paneer Tikka Garlic Bread
floral wala,Floral Potion
chocolate something,Dark Chocolate Crepe
model town kadhai [steamed rice] bowl,Model Town Kadhai Chicken [Steamed Rice] Bowl
frappuccino,Belgium Chocolate Frappuccino
something likke vegan,Tulsi Nimbenu Soup ( Vegan )
cheesecake banao,New York Cheesecake
tandoori something,Tandoori Chicken Mughal Biryani + Lemonade + Raita
zinger try karna hai,Night Shift Zinger Pro Meal
kuch cosy chahiye,Cosy Comfort White Sauce Pasta
idea dessert,Ledikeni
meetha chingri,Chingri Bhape
chicken wala,Peri Peri 10 Pc Chicken Strips & 2 Dips
spicy obbattu,Obbattu holige
spicy cheese,Cheese Garlic Bread
meetha payasam,Payasam
dessert katli,Kaju katli
rice [400 gm],Basmati Rice [400 gm]
kakinada banao,Kakinada khaja
bowls rice high-protein *new*,"Fiber-Rich Palak & Millet Khichdi [17g Protein,..."
meetha bangalore,Sambar Rice and Bangalore Kebab Bowl
want to try [200,Masala Chaas [200 ml]
paneer,Paneer Tikka Rice Bowl
something like veg,Veg McMuffin with protein plus
combo burger krisper chicken,Classic Chicken Krisper Burger Combo
gm],Ghar Ka Moong Dal Halwa [100 gm]
spicy tandoori,Indian Tandoori Chicken Roll
spicy mas,Haq Maas
rice] [masala chole amritsari,Amritsari Chole [Masala Rice] Bowl
meetha cream.(small,Three Cheers Chocolate Ice Cream.(small Scoop)
homestyle food,Homestyle Yellow Dal - Light Meal
Hot  Coffee Combo,Hot  Coffee Combo
McAloo Tikki Burger Combo,McAloo Tikki Burger Combo
want to try brinjal,Brinjal Curry Rice Bowl
kuch splish chahiye,Splish Splash Ice Cream (Small Scoop)
(m). try karna hai,Mexican Corn & Cheese Burger Combo (M).
grilled chickeen,Grilled Chicken Kalimiri
Dip Schezwan,Schezwan Dip
